Frequência (Hz)	Nível (dB)
11541,796875	-45,780842
11584,863281	-45,331707
11627,929688	-44,314266
11670,996094	-45,269733
11714,062500	-50,394257
11757,128906	-48,728554
11800,195312	-47,537476
11843,261719	-47,499046
11886,328125	-49,321793
11929,394531	-50,875450
11972,460938	-52,949436
12015,527344	-50,978245
12058,593750	-48,402027
12101,660156	-49,940575
12144,726562	-49,029037
12187,792969	-49,903706
12230,859375	-50,681953
12273,925781	-51,284218
12316,992188	-52,179226
12360,058594	-53,603954
12403,125000	-54,320103
12446,191406	-55,033138
12489,257812	-52,435223
12532,324219	-50,972301
12575,390625	-51,668495
12618,457031	-51,774982
12661,523438	-52,507011
12704,589844	-52,509518
12747,656250	-52,268501
12790,722656	-51,621941
12833,789062	-53,871002
12876,855469	-55,061432
12919,921875	-55,374889
12962,988281	-56,349735
13006,054688	-54,207703
13049,121094	-54,764549
13092,187500	-56,736202
13135,253906	-55,977329
13178,320312	-55,010788
13221,386719	-55,841927
13264,453125	-56,852833
13307,519531	-56,933228
13350,585938	-56,834755
13393,652344	-58,738605
13436,718750	-58,537861
13479,785156	-58,437664
13522,851562	-58,527203
13565,917969	-58,346832
13608,984375	-59,547260
13652,050781	-58,593521
13695,117188	-57,750076
13738,183594	-58,594387
13781,250000	-58,695045
13824,316406	-58,511059
13867,382812	-59,683929
13910,449219	-58,388229
13953,515625	-60,897179
13996,582031	-62,490627
14039,648438	-62,737022
14082,714844	-62,684948
14125,781250	-62,630898
14168,847656	-62,684818
14211,914062	-62,456055
14254,980469	-62,182743
14298,046875	-62,298820
14341,113281	-63,089962
14384,179688	-63,767365
14427,246094	-62,311676
14470,312500	-62,891590
14513,378906	-63,194656
14556,445312	-61,838009
14599,511719	-62,395744
14642,578125	-63,250446
14685,644531	-64,649796
14728,710938	-63,924049
14771,777344	-63,236210
14814,843750	-63,987827
14857,910156	-65,624771
14900,976562	-64,665169
14944,042969	-62,648148
14987,109375	-62,118427
15030,175781	-63,423218
15073,242188	-64,463310
15116,308594	-65,926788
15159,375000	-66,155151
15202,441406	-66,325592
15245,507812	-66,667976
15288,574219	-65,751022
15331,640625	-65,929352
15374,707031	-64,724762
15417,773438	-65,360435
15460,839844	-67,367317
15503,906250	-66,781723
15546,972656	-66,287506
15590,039062	-67,099869
15633,105469	-66,898926
15676,171875	-66,013481
15719,238281	-65,131218
15762,304688	-66,089172
15805,371094	-66,960075
15848,437500	-65,206650
15891,503906	-64,816376
15934,570312	-66,439743
15977,636719	-66,678047
16020,703125	-65,815613
16063,769531	-65,795059
16106,835938	-66,161842
16149,902344	-66,211021
16192,968750	-65,723274
16236,035156	-68,195663
16279,101562	-68,669563
16322,167969	-67,435898
16365,234375	-67,116531
16408,300781	-66,598694
16451,367188	-66,085152
16494,433594	-65,743507
16537,500000	-65,039574
16580,566406	-64,862350
16623,632812	-65,915352
16666,699219	-65,123756
16709,765625	-66,163300
16752,832031	-65,365250
16795,898438	-64,385330
16838,964844	-63,904995
16882,031250	-63,370178
16925,097656	-63,661438
16968,164062	-63,444435
17011,230469	-63,274155
17054,296875	-63,178444
17097,363281	-64,478226
17140,429688	-63,751453
17183,496094	-62,584019
17226,562500	-62,069351
17269,628906	-61,079578
17312,695312	-60,242653
17355,761719	-60,852173
17398,828125	-60,423622
17441,894531	-61,590046
17484,960938	-61,459175
17528,027344	-60,574650
17571,093750	-60,602909
17614,160156	-60,348213
17657,226562	-59,097298
17700,292969	-58,543865
17743,359375	-57,419525
17786,425781	-56,888863
17829,492188	-56,940853
17872,558594	-57,854233
17915,625000	-57,714474
17958,691406	-57,018978
18001,757812	-56,104641
18044,824219	-54,914429
18087,890625	-55,067696
18130,957031	-53,838135
18174,023438	-54,234325
18217,089844	-54,439739
18260,156250	-54,818714
18303,222656	-54,592403
18346,289062	-54,851414
18389,355469	-54,898083
18432,421875	-55,291737
18475,488281	-53,808163
18518,554688	-53,537487
18561,621094	-51,867298
18604,687500	-49,452160
18647,753906	-48,726234
18690,820312	-48,286396
18733,886719	-51,053356
18776,953125	-49,939583
18820,019531	-48,781067
18863,085938	-49,519463
18906,152344	-48,703911
18949,218750	-50,258934
18992,285156	-50,164169
19035,351562	-48,819878
19078,417969	-48,180691
19121,484375	-46,530769
19164,550781	-46,761845
19207,617188	-48,037605
19250,683594	-45,587135
19293,750000	-46,827736
19336,816406	-45,349987
19379,882812	-44,133541
19422,949219	-45,732521
19466,015625	-47,241982
19509,082031	-45,702740
19552,148438	-44,487358
19595,214844	-44,820522
19638,281250	-44,791233
19681,347656	-44,959602
19724,414062	-45,289688
19767,480469	-45,747086
19810,546875	-45,575333
19853,613281	-44,374313
19896,679688	-43,410816
19939,746094	-44,614857
19982,812500	-44,047413
20025,878906	-43,246140
20068,945312	-41,474636
20112,011719	-42,536354
20155,078125	-43,291100
20198,144531	-43,955936
20241,210938	-43,917759
20284,277344	-43,424007
20327,343750	-42,949841
20370,410156	-42,530041
20413,476562	-41,681080
20456,542969	-41,917862
20499,609375	-41,966618
20542,675781	-41,636776
20585,742188	-41,202839
20628,808594	-42,229778
20671,875000	-43,361599
20714,941406	-42,159740
20758,007812	-41,336288
20801,074219	-42,088047
20844,140625	-41,375755
20887,207031	-41,382233
20930,273438	-41,459576
20973,339844	-41,254261
21016,406250	-41,179447
21059,472656	-41,543930
21102,539062	-41,410500
21145,605469	-39,607273
21188,671875	-39,779202
21231,738281	-41,208942
21274,804688	-39,927822
21317,871094	-40,200802
21360,937500	-40,980083
21404,003906	-39,983173
21447,070312	-40,703987
21490,136719	-41,276310
21533,203125	-40,274975
21576,269531	-40,332863
21619,335938	-39,535904
21662,402344	-40,734898
21705,468750	-40,534267
21748,535156	-41,660767
21791,601562	-40,943260
21834,667969	-39,642849
21877,734375	-39,662342
21920,800781	-39,332695
21963,867188	-39,973373
22006,933594	-39,846554
