Frequência (Hz)	Nível (dB)
11541,796875	-57,734978
11584,863281	-57,529217
11627,929688	-57,212559
11670,996094	-56,926064
11714,062500	-57,500488
11757,128906	-57,962662
11800,195312	-56,989147
11843,261719	-57,506622
11886,328125	-57,468723
11929,394531	-57,550446
11972,460938	-57,684551
12015,527344	-57,202049
12058,593750	-58,648056
12101,660156	-58,470085
12144,726562	-58,231434
12187,792969	-57,796173
12230,859375	-57,611649
12273,925781	-57,975037
12316,992188	-57,854446
12360,058594	-57,969509
12403,125000	-57,411911
12446,191406	-57,592148
12489,257812	-58,934967
12532,324219	-58,709476
12575,390625	-58,410995
12618,457031	-58,398273
12661,523438	-57,871048
12704,589844	-57,946049
12747,656250	-56,253708
12790,722656	-48,672489
12833,789062	-52,363846
12876,855469	-58,072491
12919,921875	-58,359612
12962,988281	-59,702362
13006,054688	-59,271683
13049,121094	-59,244648
13092,187500	-59,051910
13135,253906	-59,380707
13178,320312	-58,758377
13221,386719	-58,971527
13264,453125	-59,641838
13307,519531	-58,735767
13350,585938	-58,710075
13393,652344	-59,488384
13436,718750	-59,425014
13479,785156	-60,344788
13522,851562	-60,293167
13565,917969	-60,214729
13608,984375	-60,930138
13652,050781	-59,910358
13695,117188	-60,400375
13738,183594	-60,290817
13781,250000	-60,196613
13824,316406	-60,526806
13867,382812	-60,206043
13910,449219	-60,347828
13953,515625	-60,654671
13996,582031	-60,284016
14039,648438	-60,808735
14082,714844	-61,512012
14125,781250	-60,273743
14168,847656	-60,173309
14211,914062	-60,929695
14254,980469	-59,940170
14298,046875	-60,817280
14341,113281	-59,900318
14384,179688	-60,101059
14427,246094	-59,795815
14470,312500	-60,636780
14513,378906	-62,208290
14556,445312	-61,789597
14599,511719	-61,407963
14642,578125	-61,952293
14685,644531	-62,013130
14728,710938	-60,677555
14771,777344	-61,566269
14814,843750	-62,400993
14857,910156	-62,583847
14900,976562	-62,976089
14944,042969	-62,702557
14987,109375	-62,913139
15030,175781	-63,027542
15073,242188	-63,232193
15116,308594	-62,317162
15159,375000	-62,391815
15202,441406	-62,778984
15245,507812	-62,191505
15288,574219	-61,987164
15331,640625	-60,970058
15374,707031	-61,612587
15417,773438	-62,579948
15460,839844	-62,319416
15503,906250	-62,064678
15546,972656	-62,326130
15590,039062	-63,004562
15633,105469	-63,227631
15676,171875	-64,396553
15719,238281	-64,942413
15762,304688	-64,858742
15805,371094	-64,612091
15848,437500	-65,344429
15891,503906	-65,179016
15934,570312	-64,751312
15977,636719	-65,190056
16020,703125	-65,345436
16063,769531	-65,869743
16106,835938	-65,322220
16149,902344	-65,182472
16192,968750	-65,457146
